date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,cnn_trigger,vix_trigger,margin_trigger,signal_count
2025-11-17,46.5,13.86,92.17,136.62,18955.22,2945.64,5227.35,2128.02,265.4,18955.22,2956.02,5295.28,2212.0,275.69,0.0,-0.35,-1.28,-3.8,-3.73,57.05,27.63,115.48,211.47,0,0,0,0
2025-11-18,67.4,22.72,101.93,145.32,18476.4,3004.62,5220.36,2176.24,261.39,18955.22,3004.62,5295.28,2212.0,275.69,-2.53,0.0,-1.41,-1.62,-5.19,53.63,26.91,111.17,212.34,0,0,0,0
2025-11-19,54.6,21.37,82.6,128.25,18419.42,2956.48,5202.19,2211.32,263.22,18955.22,3004.62,5295.28,2212.0,275.69,-2.83,-1.6,-1.76,-0.03,-4.52,53.13,28.04,117.08,206.52,0,0,0,0
2025-11-20,54.2,16.0,110.22,135.57,18429.79,2971.36,5226.34,2197.58,258.67,18955.22,3004.62,5295.28,2212.0,275.69,-2.77,-1.11,-1.3,-0.65,-6.17,52.91,28.58,110.31,204.27,0,0,0,0
2025-11-21,47.1,21.72,92.78,153.53,18651.23,2959.5,5195.22,2178.31,264.6,18955.22,3004.62,5295.28,2212.0,275.69,-1.6,-1.5,-1.89,-1.52,-4.02,54.95,31.44,110.22,207.12,0,0,0,0
2025-11-24,44.4,17.38,87.3,125.21,18988.43,2918.09,5178.6,2190.44,267.71,18988.43,3004.62,5295.28,2212.0,275.69,0.0,-2.88,-2.2,-0.97,-2.89,57.31,29.64,110.02,203.21,0,0,0,0
2025-11-25,56.3,22.88,73.34,136.25,18527.45,2927.69,5193.93,2218.72,270.88,18988.43,3004.62,5295.28,2218.72,275.69,-2.43,-2.56,-1.91,0.0,-1.74,53.52,29.52,108.21,202.66,0,0,0,0
2025-11-26,47.2,10.41,95.61,149.76,18583.01,2917.09,5164.27,2229.44,277.86,18988.43,3004.62,5295.28,2229.44,277.86,-2.14,-2.91,-2.47,0.0,0.0,53.87,29.0,108.02,202.77,0,0,0,0
2025-11-27,25.3,21.4,100.53,131.74,18793.4,2947.25,5134.81,2248.86,273.11,18988.43,3004.62,5295.28,2248.86,277.86,-1.03,-1.91,-3.03,0.0,-1.71,55.81,28.33,113.42,203.66,0,0,0,0
2025-11-28,57.7,10,75.84,147.91,18793.71,2960.98,5150.86,2189.24,268.36,18988.43,3004.62,5295.28,2248.86,277.86,-1.03,-1.45,-2.73,-2.65,-3.42,56.17,29.95,118.53,205.86,0,0,0,0
2025-12-01,34.2,26.24,98.17,149.51,18850.85,2927.19,5233.68,2207.57,260.75,18988.43,3004.62,5295.28,2248.86,277.86,-0.72,-2.58,-1.16,-1.84,-6.16,56.48,30.05,117.15,206.71,0,1,0,1
2025-12-02,48.6,17.0,87.16,144.85,18663.78,2933.35,5242.13,2187.78,263.29,18988.43,3004.62,5295.28,2248.86,277.86,-1.71,-2.37,-1.0,-2.72,-5.24,54.53,31.64,119.47,206.99,0,0,0,0
2025-12-03,42.3,17.3,85.6,129.07,18630.98,2946.83,5234.4,2205.31,262.83,18988.43,3004.62,5295.28,2248.86,277.86,-1.88,-1.92,-1.15,-1.94,-5.41,54.2,32.42,121.48,209.2,0,0,0,0
2025-12-04,53.4,10,97.87,131.32,18410.87,2972.34,5232.45,2250.32,271.81,18988.43,3004.62,5295.28,2250.32,277.86,-3.04,-1.07,-1.19,0.0,-2.18,51.85,32.05,121.25,209.27,0,0,0,0
2025-12-05,62.1,22.37,109.0,130.6,18241.1,2949.79,5307.24,2245.65,268.43,18988.43,3004.62,5307.24,2250.32,277.86,-3.94,-1.82,0.0,-0.21,-3.39,50.67,31.39,122.71,208.18,0,0,0,0
2025-12-08,36.7,12.46,97.46,118.03,18489.05,2926.4,5290.4,2280.57,271.74,18988.43,3004.62,5307.24,2280.57,277.86,-2.63,-2.6,-0.32,0.0,-2.2,52.43,31.92,120.78,208.19,0,0,0,0
2025-12-09,41.5,16.0,95.7,136.69,18569.09,2931.49,5265.66,2311.31,274.23,18988.43,3004.62,5307.24,2311.31,277.86,-2.21,-2.43,-0.78,0.0,-1.31,52.94,32.59,116.2,206.42,0,0,0,0
2025-12-10,49.2,18.16,94.12,135.08,18577.29,2964.76,5275.27,2301.85,269.25,18988.43,3004.62,5307.24,2311.31,277.86,-2.17,-1.33,-0.6,-0.41,-3.1,53.15,34.01,114.03,208.51,0,0,0,0
2025-12-11,65.1,15.61,80.29,114.35,18195.07,2989.22,5302.84,2335.67,278.34,18988.43,3004.62,5307.24,2335.67,278.34,-4.18,-0.51,-0.08,0.0,0.0,49.86,34.02,119.56,207.57,0,0,0,0
2025-12-12,54.5,20.04,96.23,135.2,17753.84,2947.91,5348.19,2309.31,277.39,18988.43,3004.62,5348.19,2335.67,278.34,-6.5,-1.89,0.0,-1.13,-0.34,46.38,32.89,123.5,204.19,0,0,0,0
2025-12-15,40.1,14.83,96.81,147.23,18057.37,2951.46,5296.51,2292.48,275.01,18988.43,3004.62,5348.19,2335.67,278.34,-4.9,-1.77,-0.97,-1.85,-1.2,48.85,32.77,126.19,206.27,0,0,0,0
2025-12-16,61.2,13.34,81.66,134.36,18036.02,2941.11,5252.19,2312.93,272.58,18988.43,3004.62,5348.19,2335.67,278.34,-5.02,-2.11,-1.79,-0.97,-2.07,48.21,33.8,121.99,207.26,0,0,0,0
2025-12-17,56.5,18.78,92.77,135.76,18052.09,2911.74,5308.62,2358.0,264.52,18988.43,3004.62,5348.19,2358.0,278.34,-4.93,-3.09,-0.74,0.0,-4.97,48.54,32.48,120.8,203.05,0,0,0,0
2025-12-18,68.8,22.78,97.43,140.86,17883.83,2949.37,5287.59,2368.41,262.49,18988.43,3004.62,5348.19,2368.41,278.34,-5.82,-1.84,-1.13,0.0,-5.69,47.14,32.32,117.74,203.36,0,0,0,0
2025-12-19,49.1,17.96,107.36,136.21,18063.68,2976.74,5300.42,2374.95,265.89,18988.43,3004.62,5348.19,2374.95,278.34,-4.87,-0.93,-0.89,0.0,-4.47,48.33,32.34,112.18,203.55,0,0,0,0
2025-12-22,54.9,18.44,105.6,129.84,18264.87,2976.73,5257.02,2331.37,262.02,18988.43,3004.62,5348.19,2374.95,278.34,-3.81,-0.93,-1.7,-1.83,-5.86,50.1,32.14,113.78,199.66,0,0,0,0
2025-12-23,53.1,19.06,89.29,146.13,18204.75,2960.86,5188.83,2351.83,266.7,18988.43,3004.62,5348.19,2374.95,278.34,-4.13,-1.46,-2.98,-0.97,-4.18,49.48,33.19,107.11,199.64,0,0,0,0
2025-12-24,65.0,11.43,114.8,136.5,18416.81,2953.13,5185.23,2339.97,264.65,18988.43,3004.62,5348.19,2374.95,278.34,-3.01,-1.71,-3.05,-1.47,-4.92,51.55,34.22,109.25,195.98,0,0,0,0
2025-12-25,41.3,10.58,92.17,126.75,18216.98,2927.55,5202.6,2312.2,264.51,18988.43,3004.62,5348.19,2374.95,278.34,-4.06,-2.57,-2.72,-2.64,-4.97,49.48,36.28,113.53,198.97,0,0,0,0
2025-12-26,53.7,29.64,91.28,139.4,18159.33,2851.98,5193.08,2366.39,260.08,18988.43,3004.62,5348.19,2374.95,278.34,-4.37,-5.08,-2.9,-0.36,-6.56,48.65,36.97,112.89,198.21,0,1,0,1
2025-12-29,70.4,11.35,92.57,128.87,18049.01,2813.78,5205.62,2361.01,260.73,18988.43,3004.62,5348.19,2374.95,278.34,-4.95,-6.35,-2.67,-0.59,-6.33,47.64,37.44,117.79,199.25,0,0,0,0
2025-12-30,41.3,18.61,98.91,132.55,18574.72,2818.15,5262.69,2386.1,254.16,18988.43,3004.62,5348.19,2386.1,278.34,-2.18,-6.21,-1.6,0.0,-8.69,51.67,35.93,112.57,199.59,0,0,0,0
2025-12-31,59.9,17.97,96.78,138.78,18396.73,2790.33,5239.32,2354.06,253.38,18988.43,3004.62,5348.19,2386.1,278.34,-3.12,-7.13,-2.04,-1.34,-8.97,49.96,35.68,110.43,199.53,0,0,0,0
2026-01-01,62.4,20.7,101.75,135.58,18032.03,2779.77,5250.92,2373.68,247.31,18988.43,3004.62,5348.19,2386.1,278.34,-5.04,-7.48,-1.82,-0.52,-11.15,47.29,35.49,110.17,199.97,0,0,0,0
2026-01-02,39.7,23.46,84.42,136.65,18065.03,2758.02,5243.76,2412.35,246.55,18988.43,3004.62,5348.19,2412.35,278.34,-4.86,-8.21,-1.95,0.0,-11.42,47.43,36.33,107.82,199.5,0,0,0,0
2026-01-05,41.4,19.13,91.73,139.01,18093.25,2766.22,5288.33,2399.41,248.19,18988.43,3004.62,5348.19,2412.35,278.34,-4.71,-7.93,-1.12,-0.54,-10.83,47.95,37.02,109.26,196.96,0,0,0,0
2026-01-06,49.6,23.11,85.06,127.44,18089.09,2769.65,5230.8,2405.06,245.61,18988.43,3004.62,5348.19,2412.35,278.34,-4.74,-7.82,-2.19,-0.3,-11.76,47.88,34.96,111.17,193.97,0,0,0,0
2026-01-07,44.0,18.11,90.39,136.46,18056.28,2702.52,5238.36,2425.84,244.46,18988.43,3004.62,5348.19,2425.84,278.34,-4.91,-10.05,-2.05,0.0,-12.17,47.66,35.32,114.21,192.63,0,0,0,0
2026-01-08,46.3,11.29,81.89,121.0,18393.47,2693.86,5194.25,2398.4,236.78,18988.43,3004.62,5348.19,2425.84,278.34,-3.13,-10.34,-2.88,-1.13,-14.93,50.01,34.02,108.57,193.52,0,0,0,0
2026-01-09,60.0,10,90.85,131.73,18432.82,2684.67,5212.21,2421.49,236.75,18988.43,3004.62,5348.19,2425.84,278.34,-2.93,-10.65,-2.54,-0.18,-14.94,50.3,34.53,106.99,190.0,0,0,0,0
2026-01-12,37.9,40.51,91.28,129.4,18436.35,2712.34,5223.2,2411.0,239.17,18988.43,3004.62,5348.19,2425.84,278.34,-2.91,-9.73,-2.34,-0.61,-14.07,50.68,35.22,103.99,195.71,0,1,0,1
2026-01-13,35.0,18.14,102.35,127.4,18796.28,2723.73,5163.57,2419.38,241.13,18988.43,3004.62,5348.19,2425.84,278.34,-1.01,-9.35,-3.45,-0.27,-13.37,53.34,34.46,102.85,194.84,0,0,0,0
2026-01-14,84.1,18.93,85.09,140.45,18405.75,2703.6,5219.29,2401.36,249.6,18988.43,3004.62,5348.19,2425.84,278.34,-3.07,-10.02,-2.41,-1.01,-10.33,49.7,33.6,103.48,196.18,0,0,0,0
2026-01-15,19.4,13.96,88.02,123.54,18728.25,2700.64,5177.71,2392.83,250.95,18988.43,3004.62,5348.19,2425.84,278.34,-1.37,-10.12,-3.19,-1.36,-9.84,52.33,32.18,103.59,198.59,0,0,0,0
2026-01-16,45.4,31.24,90.15,135.96,18860.14,2753.15,5254.7,2375.0,249.2,18988.43,3004.62,5348.19,2425.84,278.34,-0.68,-8.37,-1.75,-2.1,-10.47,53.71,31.78,103.22,200.5,0,1,0,1
2026-01-19,57.0,16.13,89.38,146.6,18991.34,2725.02,5244.26,2338.99,248.16,18991.34,3004.62,5348.19,2425.84,278.34,0.0,-9.31,-1.94,-3.58,-10.84,55.03,31.69,100.81,205.77,0,0,0,0
2026-01-20,39.1,10,89.34,135.3,18678.29,2717.12,5317.37,2277.94,252.58,18991.34,3004.62,5348.19,2425.84,278.34,-1.65,-9.57,-0.58,-6.1,-9.25,52.29,31.53,102.89,200.44,0,0,0,0
2026-01-21,55.8,16.09,92.05,134.58,18478.09,2711.12,5266.91,2266.06,249.37,18991.34,3004.62,5348.19,2425.84,278.34,-2.7,-9.77,-1.52,-6.59,-10.41,50.76,32.88,101.2,201.12,0,0,0,0
2026-01-22,48.5,10,102.58,128.87,18131.69,2721.19,5228.35,2237.86,243.43,18991.34,3004.62,5348.19,2425.84,278.34,-4.53,-9.43,-2.24,-7.75,-12.54,47.87,34.02,101.89,204.39,0,0,0,0
2026-01-23,45.0,25.83,79.2,144.5,17894.46,2716.31,5220.95,2208.43,242.24,18991.34,3004.62,5348.19,2425.84,278.34,-5.78,-9.6,-2.38,-8.96,-12.97,45.37,34.53,99.82,203.02,0,1,0,1
2026-01-26,43.1,36.21,94.78,126.47,17554.09,2699.03,5245.9,2198.96,236.22,18991.34,3004.62,5348.19,2425.84,278.34,-7.57,-10.17,-1.91,-9.35,-15.13,42.73,35.86,101.29,203.55,0,1,0,1
2026-01-27,50.6,23.6,104.75,122.01,17797.34,2721.21,5277.54,2176.74,233.58,18991.34,3004.62,5348.19,2425.84,278.34,-6.29,-9.43,-1.32,-10.27,-16.08,44.88,36.41,100.63,197.77,0,0,0,0
2026-01-28,62.0,17.88,113.04,135.85,17644.89,2726.53,5292.55,2203.83,230.05,18991.34,3004.62,5348.19,2425.84,278.34,-7.09,-9.26,-1.04,-9.15,-17.35,44.22,37.16,102.82,198.12,0,0,0,0
2026-01-29,45.7,29.59,104.36,129.15,17904.05,2702.67,5317.53,2229.73,227.45,18991.34,3004.62,5348.19,2425.84,278.34,-5.73,-10.05,-0.57,-8.08,-18.28,46.02,36.26,102.82,201.17,0,1,0,1
2026-01-30,34.3,14.11,108.01,138.31,17920.7,2670.87,5293.24,2253.96,227.32,18991.34,3004.62,5348.19,2425.84,278.34,-5.64,-11.11,-1.03,-7.09,-18.33,46.1,36.05,106.1,205.26,0,0,0,0
2026-02-02,52.7,17.38,78.93,123.02,17455.08,2672.06,5276.14,2305.08,224.84,18991.34,3004.62,5348.19,2425.84,278.34,-8.09,-11.07,-1.35,-4.98,-19.22,42.3,34.91,104.24,203.59,0,0,0,0
2026-02-03,64.1,19.44,69.14,129.77,17128.39,2658.14,5247.28,2268.33,226.45,18991.34,3004.62,5348.19,2425.84,278.34,-9.81,-11.53,-1.89,-6.49,-18.64,39.83,34.42,108.39,203.45,0,0,0,0
2026-02-04,68.4,28.52,93.73,150.52,16682.16,2646.81,5262.95,2248.45,228.21,18991.34,3004.62,5348.19,2425.84,278.34,-12.16,-11.91,-1.59,-7.31,-18.01,36.83,32.82,107.68,200.54,0,1,0,1
2026-02-05,56.7,10,88.79,125.63,16599.2,2634.87,5146.77,2300.15,226.95,18991.34,3004.62,5348.19,2425.84,278.34,-12.6,-12.31,-3.77,-5.18,-18.46,36.52,34.03,107.97,197.23,0,0,0,0
2026-02-06,53.5,20.13,75.4,132.36,16807.03,2578.68,5170.12,2313.89,233.93,18991.34,3004.62,5348.19,2425.84,278.34,-11.5,-14.18,-3.33,-4.61,-15.96,37.52,33.18,108.15,198.13,0,0,0,0
2026-02-09,29.7,13.26,104.83,132.22,17002.63,2618.49,5247.09,2302.15,237.78,18991.34,3004.62,5348.19,2425.84,278.34,-10.47,-12.85,-1.89,-5.1,-14.57,39.06,33.9,110.38,202.88,0,0,0,0
2026-02-10,68.9,22.72,88.99,144.88,16996.89,2603.34,5230.6,2309.12,234.14,18991.34,3004.62,5348.19,2425.84,278.34,-10.5,-13.36,-2.2,-4.81,-15.88,39.06,33.82,108.33,203.08,0,0,0,0
2026-02-11,32.4,13.52,93.3,134.05,17178.27,2534.27,5198.75,2290.03,236.88,18991.34,3004.62,5348.19,2425.84,278.34,-9.55,-15.65,-2.79,-5.6,-14.9,40.41,34.47,105.9,203.61,0,0,0,0
2026-02-12,61.9,14.09,112.19,150.82,17213.56,2515.84,5236.45,2317.33,242.38,18991.34,3004.62,5348.19,2425.84,278.34,-9.36,-16.27,-2.09,-4.47,-12.92,40.69,35.16,107.51,205.64,0,0,0,0
2026-02-13,58.6,18.4,96.5,137.33,17220.84,2523.99,5253.89,2317.25,244.63,18991.34,3004.62,5348.19,2425.84,278.34,-9.32,-16.0,-1.76,-4.48,-12.11,40.71,37.02,107.96,205.29,0,0,0,0
2026-02-16,54.5,17.4,75.35,126.23,17207.7,2493.19,5252.59,2283.01,245.4,18991.34,3004.62,5348.19,2425.84,278.34,-9.39,-17.02,-1.79,-5.89,-11.83,40.8,37.85,108.71,201.89,0,0,0,0
2026-02-17,57.5,25.18,102.35,137.57,17176.99,2501.8,5249.26,2253.19,245.89,18991.34,3004.62,5348.19,2425.84,278.34,-9.55,-16.73,-1.85,-7.12,-11.66,40.36,38.23,108.14,200.61,0,1,0,1
2026-02-18,45.1,10,81.09,133.99,17002.78,2478.39,5187.48,2337.52,241.91,18991.34,3004.62,5348.19,2425.84,278.34,-10.47,-17.51,-3.0,-3.64,-13.09,39.06,37.9,106.56,200.02,0,0,0,0
2026-02-19,58.2,15.57,98.3,133.61,16863.18,2461.36,5196.43,2319.81,245.29,18991.34,3004.62,5348.19,2425.84,278.34,-11.21,-18.08,-2.84,-4.37,-11.87,38.14,36.4,108.31,198.94,0,0,0,0
2026-02-20,39.7,20.69,106.77,135.03,16907.18,2451.88,5252.39,2347.99,247.07,18991.34,3004.62,5348.19,2425.84,278.34,-10.97,-18.4,-1.79,-3.21,-11.23,38.23,35.67,107.65,195.65,0,0,0,0
2026-02-23,74.2,35.01,83.58,145.03,16498.81,2440.22,5143.77,2325.04,245.03,18991.34,3004.62,5348.19,2425.84,278.34,-13.12,-18.78,-3.82,-4.16,-11.97,35.4,35.25,106.05,193.98,0,1,0,1
2026-02-24,59.0,13.14,101.27,132.99,16177.81,2420.34,5206.53,2257.35,247.15,18991.34,3004.62,5348.19,2425.84,278.34,-14.81,-19.45,-2.65,-6.95,-11.21,33.31,35.06,110.55,190.58,0,0,0,0
2026-02-25,48.0,17.9,87.0,138.53,16018.22,2418.91,5210.42,2283.29,243.65,18991.34,3004.62,5348.19,2425.84,278.34,-15.66,-19.49,-2.58,-5.88,-12.46,32.38,34.88,110.04,189.38,0,0,0,0
2026-02-26,50.5,13.75,85.19,129.03,15807.72,2447.1,5219.48,2245.4,244.68,18991.34,3004.62,5348.19,2425.84,278.34,-16.76,-18.56,-2.41,-7.44,-12.09,31.22,36.1,109.03,189.82,0,0,0,0
2026-02-27,56.6,11.58,103.46,135.33,15861.68,2447.47,5198.97,2223.85,245.96,18991.34,3004.62,5348.19,2425.84,278.34,-16.48,-18.54,-2.79,-8.33,-11.63,31.38,35.93,108.31,188.49,0,0,0,0
2026-03-02,58.3,11.23,79.31,149.31,15886.63,2460.38,5197.68,2249.62,252.07,18991.34,3004.62,5348.19,2425.84,278.34,-16.35,-18.11,-2.81,-7.26,-9.44,31.6,36.87,107.39,188.7,0,0,0,0
2026-03-03,46.1,18.92,86.86,147.82,16052.57,2465.0,5199.8,2300.84,248.49,18991.34,3004.62,5348.19,2425.84,278.34,-15.47,-17.96,-2.77,-5.15,-10.72,32.49,36.58,104.69,185.64,0,0,0,0
2026-03-04,53.6,21.15,102.61,139.7,15784.41,2433.53,5215.45,2294.63,250.05,18991.34,3004.62,5348.19,2425.84,278.34,-16.89,-19.01,-2.48,-5.41,-10.16,30.7,35.88,102.9,184.03,0,0,0,0
2026-03-05,49.0,20.41,81.48,126.89,15981.51,2455.45,5248.18,2317.6,248.11,18991.34,3004.62,5348.19,2425.84,278.34,-15.85,-18.28,-1.87,-4.46,-10.86,31.57,36.19,101.17,183.35,0,0,0,0
2026-03-06,37.9,14.64,80.91,131.81,15914.51,2442.74,5255.19,2282.79,248.29,18991.34,3004.62,5348.19,2425.84,278.34,-16.2,-18.7,-1.74,-5.9,-10.8,30.83,36.97,97.87,179.02,0,0,0,0
2026-03-09,59.1,28.61,112.71,142.41,15836.19,2466.74,5274.09,2275.04,251.11,18991.34,3004.62,5348.19,2425.84,278.34,-16.61,-17.9,-1.39,-6.22,-9.78,30.44,36.52,100.36,181.82,0,1,0,1
2026-03-10,40.0,10,105.23,136.67,15997.5,2439.85,5227.1,2273.57,244.82,18991.34,3004.62,5348.19,2425.84,278.34,-15.76,-18.8,-2.26,-6.28,-12.04,31.5,35.79,101.7,180.31,0,0,0,0
2026-03-11,52.8,11.22,100.24,141.49,16053.23,2481.44,5281.33,2247.66,249.66,18991.34,3004.62,5348.19,2425.84,278.34,-15.47,-17.41,-1.25,-7.35,-10.3,31.83,35.8,104.43,178.76,0,0,0,0
2026-03-12,48.9,13.58,80.58,148.53,16012.7,2506.34,5251.27,2281.17,250.98,18991.34,3004.62,5348.19,2425.84,278.34,-15.68,-16.58,-1.81,-5.96,-9.83,31.65,36.0,103.5,175.25,0,0,0,0
2026-03-13,53.5,22.78,82.34,144.91,15795.9,2489.76,5299.36,2298.52,253.69,18991.34,3004.62,5348.19,2425.84,278.34,-16.83,-17.14,-0.91,-5.25,-8.86,30.32,34.87,105.68,178.97,0,0,0,0
2026-03-16,49.5,22.35,101.29,143.74,15905.05,2455.57,5332.43,2255.46,251.86,18991.34,3004.62,5348.19,2425.84,278.34,-16.25,-18.27,-0.29,-7.02,-9.51,30.85,34.0,104.06,176.16,0,0,0,0
2026-03-17,54.4,23.29,95.54,130.78,15833.92,2457.53,5355.39,2305.51,255.25,18991.34,3004.62,5355.39,2425.84,278.34,-16.63,-18.21,0.0,-4.96,-8.3,30.59,35.07,99.42,179.57,0,0,0,0
2026-03-18,44.9,14.05,97.81,134.92,15753.11,2467.76,5391.38,2260.62,256.09,18991.34,3004.62,5391.38,2425.84,278.34,-17.05,-17.87,0.0,-6.81,-7.99,29.98,35.49,98.6,178.16,0,0,0,0
2026-03-19,58.5,13.26,85.98,141.62,15546.75,2447.0,5383.5,2272.52,252.06,18991.34,3004.62,5391.38,2425.84,278.34,-18.14,-18.56,-0.15,-6.32,-9.44,28.67,38.39,96.28,179.37,0,0,0,0
2026-03-20,44.1,24.97,88.41,135.53,15882.83,2437.52,5390.94,2257.23,252.06,18991.34,3004.62,5391.38,2425.84,278.34,-16.37,-18.87,-0.01,-6.95,-9.44,30.66,37.35,100.0,182.97,0,0,0,0
2026-03-23,58.7,24.69,97.88,160.72,15731.21,2448.92,5377.3,2191.64,255.56,18991.34,3004.62,5391.38,2425.84,278.34,-17.17,-18.49,-0.26,-9.65,-8.18,29.95,37.2,100.47,183.46,0,0,0,0
2026-03-24,61.1,10,106.97,134.22,15699.31,2453.06,5451.89,2168.71,251.57,18991.34,3004.62,5451.89,2425.84,278.34,-17.33,-18.36,0.0,-10.6,-9.62,29.85,37.89,102.34,179.78,0,0,0,0
2026-03-25,52.8,17.41,79.43,141.86,15705.45,2469.63,5467.9,2186.81,247.47,18991.34,3004.62,5467.9,2425.84,278.34,-17.3,-17.81,0.0,-9.85,-11.09,29.7,38.61,103.69,179.34,0,0,0,0
2026-03-26,53.4,21.56,105.36,133.27,15617.38,2472.82,5516.69,2165.3,251.91,18991.34,3004.62,5516.69,2425.84,278.34,-17.77,-17.7,0.0,-10.74,-9.5,29.21,39.26,100.46,179.65,0,0,0,0
2026-03-27,31.0,10,94.96,136.45,15549.29,2481.96,5514.07,2132.26,251.18,18991.34,3004.62,5516.69,2425.84,278.34,-18.12,-17.4,-0.05,-12.1,-9.76,28.81,38.23,102.26,182.84,0,0,0,0
2026-03-30,56.6,14.86,110.49,122.97,15590.42,2459.8,5507.44,2093.48,252.01,18991.34,3004.62,5516.69,2425.84,278.34,-17.91,-18.13,-0.17,-13.7,-9.46,29.02,38.53,97.77,178.71,0,0,0,0
2026-03-31,54.0,31.48,65.07,132.68,15654.01,2429.4,5448.16,2136.92,254.53,18991.34,3004.62,5516.69,2425.84,278.34,-17.57,-19.14,-1.24,-11.91,-8.55,29.4,39.27,98.21,176.7,0,1,0,1
2026-04-01,67.1,22.05,84.45,141.24,15515.65,2424.44,5448.75,2118.83,250.39,18991.34,3004.62,5516.69,2425.84,278.34,-18.3,-19.31,-1.23,-12.66,-10.04,28.71,38.48,99.88,180.07,0,0,0,0
